State,Low Income Communities (LICs)
Arizona,04019003903
Arizona,04019004010
Arizona,04019004011
Arizona,04019004033
Arizona,04019004034
Arizona,04019004035
Arizona,04019004036
Arizona,04019004037
Arizona,04019004039
Arizona,04019004067
Arizona,04019004069
Arizona,04019004070
Arizona,04019004071
Arizona,04019004110
Arizona,04019004112
Arizona,04019004114
Arizona,04019004115
Arizona,04019004116
Arizona,04019004117
Arizona,04019004122
Arizona,04019004307
Arizona,04019004310
Arizona,04019004312
Arizona,04019004313
Arizona,04019004316
Arizona,04019004317
Arizona,04019004320
Arizona,04019004322
Arizona,04019004407
Arizona,04019004411
Arizona,04019004414
Arizona,04019004415
Arizona,04019004424
Arizona,04019004504
Arizona,04019004505
Arizona,04019004506
Arizona,04019004508
Arizona,04019004510
Arizona,04019004511
Arizona,04019004512
Arizona,04019004513
Arizona,04019004613
Arizona,04019004626
Arizona,04019004725
Arizona,04019470400
Arizona,04019940600
Arizona,04019940700
Arizona,04019940800
Arizona,04019940900
Arizona,04019941000
Arizona,04021000210
Arizona,04021000307
Arizona,04021000308
Arizona,04021000309
Arizona,04021000310
Arizona,04021000312
Arizona,04021000313
Arizona,04021000314
Arizona,04021000315
Arizona,04021000319
Arizona,04021000700
Arizona,04021000803
Arizona,04021000901
Arizona,04021000902
Arizona,04021001000
Arizona,04021001200
Arizona,04021001301
Arizona,04021001305
Arizona,04021001306
Arizona,04021001403
Arizona,04021001406
Arizona,04021001407
Arizona,04021001500
Arizona,04021001701
Arizona,04021001900
Arizona,04021002001
Arizona,04021002002
Arizona,04021002003
Arizona,04021002101
Arizona,04021002102
Arizona,04021002103
Arizona,04021002400
Arizona,04021941200
Arizona,04021941300
Arizona,04021941400
Arizona,04023966103
Arizona,04023966104
Arizona,04023966200
Arizona,04023966301
Arizona,04023966302
Arizona,04023966401
Arizona,04023966402
Arizona,04025000204
Arizona,04025000605
Arizona,04025000606
Arizona,04025000608
Arizona,04025000609
Arizona,04025000610
Arizona,04025000900
Arizona,04025001001
Arizona,04025001401
Arizona,04025001403
Arizona,04025001601
Arizona,04025001602
Arizona,04025002001
Arizona,04025002002
Arizona,04025002003
Arizona,04025002100
Arizona,04027000100
Arizona,04027000200
Arizona,04027000301
Arizona,04027000302
Arizona,04027000402
Arizona,04027000403
Arizona,04027000404
Arizona,04027000501
Arizona,04027000600
Arizona,04027000700
Arizona,04027000800
Arizona,04027000902
Arizona,04027001003
Arizona,04027001004
Arizona,04027001200
Arizona,04027010905
Arizona,04027010910
Arizona,04027010913
Arizona,04027010914
Arizona,04027011000
Arizona,04027011104
Arizona,04027011111
Arizona,04027011114
Arizona,04027011201
Arizona,04027011202
Arizona,04027011403
Arizona,04027011405
Arizona,04027011406
Arizona,04027011501
