year,BoroCode,BoroName,CT2020,BoroCT2020,NTAName,NTA2020,CDTA2020,GEOID,group,is_top_aff,count
2018,"3",Brooklyn,"052800","3052800",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047052800",,,4
2018,"3",Brooklyn,"053000","3053000",Midwood,BK1403,BK14,"36047053000",,,4
2018,"3",Brooklyn,"053200","3053200",Midwood,BK1403,BK14,"36047053200",,,4
2018,"3",Brooklyn,"076400","3076400",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047076400",,,3
2018,"3",Brooklyn,"076600","3076600",Flatbush,BK1401,BK14,"36047076600",,,1
2018,"3",Brooklyn,"077000","3077000",Flatbush,BK1401,BK14,"36047077000",,,1
2018,"3",Brooklyn,"077200","3077200",Flatbush,BK1401,BK14,"36047077200",,,2
2018,"3",Brooklyn,"152200","3152200",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047152200",,,9
2018,"3",Brooklyn,"051602","3051602",Flatbush,BK1401,BK14,"36047051602",,,1
2019,"3",Brooklyn,"004400","3004400",Bay Ridge,BK1001,BK10,"36047004400",,,1
2019,"3",Brooklyn,"004600","3004600",Bay Ridge,BK1001,BK10,"36047004600",,,1
2019,"3",Brooklyn,"003000","3003000",Bay Ridge,BK1001,BK10,"36047003000",,,1
2019,"3",Brooklyn,"003600","3003600",Bay Ridge,BK1001,BK10,"36047003600",,,1
2019,"3",Brooklyn,"003800","3003800",Bay Ridge,BK1001,BK10,"36047003800",,,1
2019,"3",Brooklyn,"006200","3006200",Bay Ridge,BK1001,BK10,"36047006200",,,1
2019,"3",Brooklyn,"006400","3006400",Bay Ridge,BK1001,BK10,"36047006400",,,1
2019,"3",Brooklyn,"006600","3006600",Bay Ridge,BK1001,BK10,"36047006600",,,1
2019,"3",Brooklyn,"006800","3006800",Bay Ridge,BK1001,BK10,"36047006800",,,1
2019,"3",Brooklyn,"012600","3012600",Bay Ridge,BK1001,BK10,"36047012600",,,1
2019,"3",Brooklyn,"013000","3013000",Bay Ridge,BK1001,BK10,"36047013000",,,1
2019,"3",Brooklyn,"013800","3013800",Bay Ridge,BK1001,BK10,"36047013800",,,1
2019,"3",Brooklyn,"013400","3013400",Bay Ridge,BK1001,BK10,"36047013400",,,1
2019,"3",Brooklyn,"013600","3013600",Bay Ridge,BK1001,BK10,"36047013600",,,1
2019,"3",Brooklyn,"002200","3002200",Sunset Park (West),BK0702,BK07,"36047002200",,,2
2019,"3",Brooklyn,"007000","3007000",Bay Ridge,BK1001,BK10,"36047007000",,,1
2019,"3",Brooklyn,"003400","3003400",Bay Ridge,BK1001,BK10,"36047003400",,,1
2022,"3",Brooklyn,"046000","3046000",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047046000",,,4
2022,"3",Brooklyn,"048200","3048200",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047048200",,,5
2022,"3",Brooklyn,"051601","3051601",Flatbush,BK1401,BK14,"36047051601",,,3
2022,"3",Brooklyn,"051800","3051800",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047051800",,,4
2022,"3",Brooklyn,"052000","3052000",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047052000",,,6
2022,"3",Brooklyn,"052600","3052600",Flatbush (West)-Ditmas Park-Parkville,BK1402,BK14,"36047052600",,,6
