CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,hu_post,aff_units_post,is_oz,other_units_post,aff_share_post,group,is_top_aff
"199","1",Manhattan,"019900","1019900",I,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061019900","4109",6655.70797590000,2406577.23627000023,3954,0,0,3954,"0",,
"207.01","1",Manhattan,"020701","1020701",E,Morningside Heights,MN0901,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),"36061020701","4109",2984.71727731000,508167.88820400002,1420,0,0,1420,"0",,
"218","1",Manhattan,"021800","1021800",E,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061021800","4110",5775.54814653000,1958684.85722999997,3524,568,1,2956,"0.1611804767309875",Top OZs (by units),TRUE
"220","1",Manhattan,"022000","1022000",I,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061022000","4110",5691.51581119000,1882647.55466999998,3363,91,0,3272,"0.02705917335712162",,
"222","1",Manhattan,"022200","1022200",I,Harlem (South),MN1001,MN10,MN10 Harlem (CD 10 Equivalent),"36061022200","4110",5772.83223061000,1953119.73950999998,1718,215,1,1503,"0.12514551804423749",,
"31","4",Queens,"003100","4003100",I,Queensbridge-Ravenswood-Dutch Kills,QN0105,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081003100","4401",6683.01062610000,1775765.17660999997,1246,126,1,1120,"0.10112359550561797",,
"33.02","4",Queens,"003302","4003302",I,Queensbridge-Ravenswood-Dutch Kills,QN0105,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081003302","4401",8992.52916076000,3527015.27539000008,744,0,0,744,"0",,
"43","4",Queens,"004300","4004300",E,Queensbridge-Ravenswood-Dutch Kills,QN0105,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081004300","4401",6412.16138820000,1841331.48482999997,1164,0,0,1164,"0",,
"45","4",Queens,"004500","4004500",I,Queensbridge-Ravenswood-Dutch Kills,QN0105,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081004500","4401",7941.41206590000,2375492.22937999992,1741,0,0,1741,"0",,
"47","4",Queens,"004700","4004700",E,Queensbridge-Ravenswood-Dutch Kills,QN0105,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081004700","4401",5564.48087832000,1928980.71583999996,1927,0,0,1927,"0",,
"51","4",Queens,"005100","4005100",E,Queensbridge-Ravenswood-Dutch Kills,QN0105,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),"36081005100","4401",5387.36679920000,1476104.39491000003,997,10,1,987,"0.010030090270812437",,
