"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1400000US36005037300","Census Tract 373; Bronx County; New York","1300","200",
"1400000US36005037400","Census Tract 374; Bronx County; New York","1171","352",
"1400000US36005037504","Census Tract 375.04; Bronx County; New York","1241","179",
"1400000US36005037600","Census Tract 376; Bronx County; New York","1527","160",
"1400000US36005037800","Census Tract 378; Bronx County; New York","1380","109",
"1400000US36005037900","Census Tract 379; Bronx County; New York","1481","208",
"1400000US36005038000","Census Tract 380; Bronx County; New York","1420","159",
"1400000US36005038100","Census Tract 381; Bronx County; New York","1491","142",
"1400000US36005038200","Census Tract 382; Bronx County; New York","1563","197",
"1400000US36005038301","Census Tract 383.01; Bronx County; New York","1445","107",
"1400000US36005038303","Census Tract 383.03; Bronx County; New York","1142","301",
"1400000US36005038304","Census Tract 383.04; Bronx County; New York","1063","448",
"1400000US36005038500","Census Tract 385; Bronx County; New York","1346","248",
"1400000US36005038600","Census Tract 386; Bronx County; New York","1657","190",
"1400000US36005038700","Census Tract 387; Bronx County; New York","1659","98",
"1400000US36005038800","Census Tract 388; Bronx County; New York","1736","214",
"1400000US36005038900","Census Tract 389; Bronx County; New York","1676","117",
"1400000US36005039000","Census Tract 390; Bronx County; New York","1754","107",
"1400000US36005039100","Census Tract 391; Bronx County; New York","1305","415",
"1400000US36005039200","Census Tract 392; Bronx County; New York","1571","224",
"1400000US36005039300","Census Tract 393; Bronx County; New York","1517","227",
"1400000US36005039400","Census Tract 394; Bronx County; New York","1481","127",
"1400000US36005039500","Census Tract 395; Bronx County; New York","1149","135",
"1400000US36005039600","Census Tract 396; Bronx County; New York","1455","145",
"1400000US36005039700","Census Tract 397; Bronx County; New York","934","397",
"1400000US36005039800","Census Tract 398; Bronx County; New York","1241","423",
"1400000US36005039901","Census Tract 399.01; Bronx County; New York","1441","123",
"1400000US36005039902","Census Tract 399.02; Bronx County; New York","1556","152",
"1400000US36005040100","Census Tract 401; Bronx County; New York","1633","144",
"1400000US36005040302","Census Tract 403.02; Bronx County; New York","1620","87",
"1400000US36005040303","Census Tract 403.03; Bronx County; New York","1562","126",
"1400000US36005040304","Census Tract 403.04; Bronx County; New York","1600","103",
"1400000US36005040400","Census Tract 404; Bronx County; New York","1918","263",
"1400000US36005040501","Census Tract 405.01; Bronx County; New York","1551","116",
"1400000US36005040502","Census Tract 405.02; Bronx County; New York","1611","109",
"1400000US36005040600","Census Tract 406; Bronx County; New York","1721","203",
"1400000US36005040701","Census Tract 407.01; Bronx County; New York","1474","107",
"1400000US36005040702","Census Tract 407.02; Bronx County; New York","1454","219",
"1400000US36005040800","Census Tract 408; Bronx County; New York","1579","111",
"1400000US36005040900","Census Tract 409; Bronx County; New York","1646","71",
"1400000US36005041100","Census Tract 411; Bronx County; New York","1710","78",
"1400000US36005041300","Census Tract 413; Bronx County; New York","1721","93",
"1400000US36005041400","Census Tract 414; Bronx County; New York","1599","174",
"1400000US36005041500","Census Tract 415; Bronx County; New York","1683","74",
"1400000US36005041800","Census Tract 418; Bronx County; New York","1753","156",
"1400000US36005041900","Census Tract 419; Bronx County; New York","1607","112",
"1400000US36005042000","Census Tract 420; Bronx County; New York","1407","221",
"1400000US36005042100","Census Tract 421; Bronx County; New York","1512","135",
"1400000US36005042200","Census Tract 422; Bronx County; New York","1598","225",
"1400000US36005042300","Census Tract 423; Bronx County; New York","1656","82",
"1400000US36005042400","Census Tract 424; Bronx County; New York","1793","569",
"1400000US36005042500","Census Tract 425; Bronx County; New York","1615","171",
"1400000US36005042600","Census Tract 426; Bronx County; New York","1922","741",
"1400000US36005042800","Census Tract 428; Bronx County; New York","1784","181",
"1400000US36005042901","Census Tract 429.01; Bronx County; New York","1566","131",
"1400000US36005042902","Census Tract 429.02; Bronx County; New York","1521","107",
"1400000US36005043000","Census Tract 430; Bronx County; New York","1695","89",
"1400000US36005043101","Census Tract 431.01; Bronx County; New York","1473","159",
"1400000US36005043102","Census Tract 431.02; Bronx County; New York","1602","109",
"1400000US36005043400","Census Tract 434; Bronx County; New York","1641","148",
"1400000US36005043501","Census Tract 435.01; Bronx County; New York","1366","108",
"1400000US36005043502","Census Tract 435.02; Bronx County; New York","-","**",
"1400000US36005043503","Census Tract 435.03; Bronx County; New York","2094","730",
"1400000US36005043600","Census Tract 436; Bronx County; New York","1642","181",
"1400000US36005044200","Census Tract 442; Bronx County; New York","1651","147",
"1400000US36005044400","Census Tract 444; Bronx County; New York","1740","165",
"1400000US36005044800","Census Tract 448; Bronx County; New York","1668","767",
"1400000US36005044901","Census Tract 449.01; Bronx County; New York","1593","198",
"1400000US36005044902","Census Tract 449.02; Bronx County; New York","1804","127",
"1400000US36005045101","Census Tract 451.01; Bronx County; New York","1542","455",
"1400000US36005045102","Census Tract 451.02; Bronx County; New York","2119","164",
"1400000US36005045600","Census Tract 456; Bronx County; New York","2098","752",
"1400000US36005045800","Census Tract 458; Bronx County; New York","530","145",
"1400000US36005046000","Census Tract 460; Bronx County; New York","1083","317",
"1400000US36005046203","Census Tract 462.03; Bronx County; New York","1056","246",
"1400000US36005046204","Census Tract 462.04; Bronx County; New York","1449","239",
"1400000US36005046205","Census Tract 462.05; Bronx County; New York","1367","245",
"1400000US36005046206","Census Tract 462.06; Bronx County; New York","1133","105",
"1400000US36005046207","Census Tract 462.07; Bronx County; New York","1373","79",
"1400000US36005046208","Census Tract 462.08; Bronx County; New York","2303","138",
"1400000US36005046209","Census Tract 462.09; Bronx County; New York","698","545",
"1400000US36005048401","Census Tract 484.01; Bronx County; New York","1808","195",
"1400000US36005048402","Census Tract 484.02; Bronx County; New York","-","**",
"1400000US36005050400","Census Tract 504; Bronx County; New York","-","**",
"1400000US36005051601","Census Tract 516.01; Bronx County; New York","1993","385",
"1400000US36005051602","Census Tract 516.02; Bronx County; New York","-","**",
"1400000US36047000100","Census Tract 1; Kings County; New York","2916","378",
"1400000US36047000200","Census Tract 2; Kings County; New York","2102","219",
"1400000US36047000301","Census Tract 3.01; Kings County; New York","2742","861",
"1400000US36047000501","Census Tract 5.01; Kings County; New York","2891","365",
"1400000US36047000502","Census Tract 5.02; Kings County; New York","2351","567",
"1400000US36047000700","Census Tract 7; Kings County; New York","2934","436",
"1400000US36047000900","Census Tract 9; Kings County; New York","3,500+","***",
"1400000US36047001100","Census Tract 11; Kings County; New York","3465","293",
"1400000US36047001300","Census Tract 13; Kings County; New York","3,500+","***",
"1400000US36047001501","Census Tract 15.01; Kings County; New York","3107","204",
"1400000US36047001502","Census Tract 15.02; Kings County; New York","3,500+","***",
"1400000US36047001801","Census Tract 18.01; Kings County; New York","-","**",
"1400000US36047001802","Census Tract 18.02; Kings County; New York","-","**",
"1400000US36047001803","Census Tract 18.03; Kings County; New York","-","**",
"1400000US36047001804","Census Tract 18.04; Kings County; New York","-","**",
"1400000US36047002000","Census Tract 20; Kings County; New York","1772","145",
"1400000US36047002100","Census Tract 21; Kings County; New York","3,500+","***",
"1400000US36047002200","Census Tract 22; Kings County; New York","1490","281",
"1400000US36047002300","Census Tract 23; Kings County; New York","621","135",
"1400000US36047002901","Census Tract 29.01; Kings County; New York","650","302",
"1400000US36047003000","Census Tract 30; Kings County; New York","1602","271",
"1400000US36047003101","Census Tract 31.01; Kings County; New York","3,500+","***",
"1400000US36047003102","Census Tract 31.02; Kings County; New York","-","**",
"1400000US36047003300","Census Tract 33; Kings County; New York","3182","554",
"1400000US36047003400","Census Tract 34; Kings County; New York","1769","176",
"1400000US36047003500","Census Tract 35; Kings County; New York","3115","790",
"1400000US36047003600","Census Tract 36; Kings County; New York","1811","254",
